Date,CPI,Inflation
01/01/2013,184.33,6.62
01/02/2013,184.79,7.84
01/03/2013,185.01,7.71
01/04/2013,185.13,8.37
01/05/2013,182.91,7.98
01/06/2013,184.04,8.05
01/07/2013,186.79,7.85
01/08/2013,189.44,7.39
01/09/2013,192.24,7.13
01/10/2013,194.01,7.03
01/11/2013,194.76,7.15
01/12/2013,195.82,7.35
01/01/2014,198.15,7.5
01/02/2014,198.541,7.44
01/03/2014,198.84,7.48
01/04/2014,198.93,7.46
01/05/2014,196.6,7.48
01/06/2014,196.86,6.97
01/07/2014,199.94,7.04
01/08/2014,202.53,6.91
01/09/2014,205.39,6.84
01/10/2014,206.81,6.6
01/11/2014,206.86,6.21
01/12/2014,207.78,6.11
01/01/2015,210.12,6.04
01/02/2015,210.74,6.14
01/03/2015,211.31,6.27
01/04/2015,211.51,6.32
01/05/2015,208.77,6.19
01/06/2015,209.17,6.25
01/07/2015,212.65,6.36
01/08/2015,215.03,6.17
01/09/2015,218.21,6.24
01/10/2015,219.62,6.19
01/11/2015,219.38,6.05
01/12/2015,220.45,6.1
01/01/2016,222.87,6.07
01/02/2016,222.58,5.62
01/03/2016,223.25,5.65
01/04/2016,223.37,5.61
01/05/2016,220.15,5.45
01/06/2016,220.74,5.53
01/07/2016,224.13,5.4
01/08/2016,226.57,5.37
01/09/2016,230.27,5.53
01/10/2016,231.85,5.57
01/11/2016,231.18,5.38
01/12/2016,231.53,5.03
01/01/2017,234.34,5.15
01/02/2017,234.4,5.31
01/03/2017,235.29,5.39
01/04/2017,235.58,5.47
01/05/2017,232.83,5.76
01/06/2017,233.86,5.94
01/07/2017,236.61,5.57
01/08/2017,239.92,5.89
01/09/2017,244.36,6.12
01/10/2017,245.86,6.04
01/11/2017,244.85,5.91
01/12/2017,245.03,5.83
01/01/2018,248.13,5.88
01/02/2018,247.81,5.72
01/03/2018,248.65,5.68
01/04/2018,248.85,5.63
01/05/2018,245.8,5.57
01/06/2018,246.82,5.54
01/07/2018,249.65,5.51
01/08/2018,253.07,5.48
01/09/2018,257.62,5.43
01/10/2018,259.13,5.4
01/11/2018,258,5.37
01/12/2018,258.13,5.35
01/01/2019,261.58,5.42
01/02/2019,261.36,5.47
01/03/2019,262.45,5.55
01/04/2019,262.73,5.58
01/05/2019,259.63,5.63
01/06/2019,260.44,5.52
01/07/2019,263.69,5.62
01/08/2019,266.96,5.49
01/09/2019,271.9,5.54
01/10/2019,273.3,5.47
01/11/2019,273.6,6.05
01/12/2019,272.97,5.75
01/01/2020,276.16,5.57
01/02/2020,275.63,5.46
01/03/2020,276.83,5.48
01/04/2020,278.39,5.96
01/05/2020,273.53,5.35
01/06/2020,276.12,6.02
01/07/2020,278.27,5.53
01/08/2020,282.11,5.68
01/09/2020,288.12,5.97
01/10/2020,290.91,6.44
01/11/2020,288.71,5.52
01/12/2020,287.41,5.29
01/01/2021,290.03,5.02
01/02/2021,290.3,5.32
01/03/2021,291.96,5.47
01/04/2021,293.88,5.56
01/05/2021,287.92,5.26
01/06/2021,291.7,5.64
01/07/2021,293.19,5.36
01/08/2021,282.11,5.68
01/09/2021,304.22,5.59
01/10/2021,307.49,5.7
01/11/2021,305.97,5.98
01/12/2021,304.81,6.05
01/01/2022,307.02,5.86
01/02/2022,308.21,6.17
01/03/2022,310.21,6.22
01/04/2022,312.38,6.29
01/05/2022,309.28,7.42
01/06/2022,313.76,7.56
01/07/2022,315.13,7.48
01/08/2022,326.06,9.52
01/09/2022,331.88,9.1
01/10/2022,334.89,8.91
